model,density,seed,first_stable_va0999,final_time,final_va,final_S
voter,0.32,6,1443,30000,0.9999999999999999,1.0
voter,0.32,7,1952,30000,0.9999999999999996,1.0
voter,0.32,8,732,30000,1.0000000000000007,1.0
voter,0.32,9,583,30000,0.9999999999999996,1.0
voter,0.32,10,1399,30000,0.9999999999999994,0.84375
voter,0.32,11,3032,30000,1.0000000000000004,1.0
voter,0.32,12,261,30000,1.0000000000000004,1.0
voter,0.32,13,412,30000,1.0000000000000007,0.65625
voter,0.32,14,589,30000,1.0000000000000004,0.8125
voter,0.32,15,274,30000,0.9999999999999992,1.0
voter,0.32,16,1260,30000,0.9999999999999996,1.0
voter,0.32,17,435,30000,0.9999999999999997,1.0
voter,0.32,18,3192,30000,1.0,0.96875
voter,0.32,19,554,30000,0.9999999999999994,0.6875
voter,0.32,20,712,30000,1.0000000000000002,1.0
voter,0.32,21,706,30000,0.9999999999999997,0.65625
voter,0.32,22,347,30000,1.0000000000000002,0.90625
voter,0.32,23,358,30000,0.9999999999999996,1.0
